timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864603.687,0.000,1.000,1.000,0.000
1774864603.698,0.000,1.000,1.000,0.000
1774864603.708,1.000,0.000,1.000,0.000
1774864603.718,1.000,0.000,1.000,0.000
1774864603.728,1.000,0.000,0.862,0.138
1774864603.739,1.000,0.000,1.000,0.000
1774864603.749,1.000,0.000,1.000,0.000
1774864603.759,1.000,0.000,0.959,0.041
1774864603.769,1.000,0.000,1.000,0.000
1774864603.780,1.000,0.000,1.000,0.000
1774864603.790,1.000,0.000,1.000,0.000
1774864603.800,1.000,0.000,1.000,0.000
1774864603.810,1.000,0.000,0.861,0.139
1774864603.820,0.992,0.008,0.965,0.035
1774864603.831,1.000,0.000,1.000,0.000
1774864603.841,1.000,0.000,1.000,0.000
1774864603.851,1.000,0.000,1.000,0.000
1774864603.861,1.000,0.000,1.000,0.000
1774864603.872,1.000,0.000,1.000,0.000
1774864603.882,1.000,0.000,0.998,0.002
1774864603.892,1.000,0.000,1.000,0.000
1774864603.902,1.000,0.000,0.663,0.337
1774864603.913,1.000,0.000,1.000,0.000
1774864603.923,1.000,0.000,1.000,0.000
1774864603.933,1.000,0.000,1.000,0.000
1774864603.943,1.000,0.000,1.000,0.000
1774864603.953,1.000,0.000,1.000,0.000
1774864603.964,0.000,1.000,1.000,0.000
1774864603.974,1.000,0.000,1.000,0.000
1774864603.984,1.000,0.000,1.000,0.000
1774864603.994,1.000,0.000,1.000,0.000
1774864604.005,1.000,0.000,1.000,0.000
1774864604.015,1.000,0.000,1.000,0.000
1774864604.025,1.000,0.000,1.000,0.000
1774864604.035,1.000,0.000,1.000,0.000
1774864604.046,1.000,0.000,1.000,0.000
1774864604.056,1.000,0.000,0.773,0.227
1774864604.066,1.000,0.000,1.000,0.000
1774864604.076,1.000,0.000,1.000,0.000
1774864604.086,0.000,1.000,1.000,0.000
1774864604.097,0.000,1.000,1.000,0.000
1774864604.107,0.000,1.000,1.000,0.000
